state,date,max_temp,mean_temp,min_temp,mean_humidity,mean_wind,total_rain,mean_pressure,peak_demand,mean_demand,mean_price
QLD1,2011-08-13,21.9,14.958333333333334,9.5,69.58333333333333,4.5125,0.0,1021.5708333333333,6053.62,5363.87625,28.732916666666668
QLD1,2011-08-14,21.9,15.152083333333332,11.1,76.83333333333333,3.1916666666666664,2.0,1023.0833333333334,6184.52,5278.175,27.91625
QLD1,2011-08-15,21.9,14.679166666666667,9.6,73.85416666666667,3.5625,2.2,1021.96875,6533.92,5628.951875,30.093958333333333
QLD1,2011-08-16,21.8,15.383333333333333,10.6,73.60416666666667,3.654166666666667,0.0,1019.7416666666667,6568.01,5694.335208333334,31.162499999999998
QLD1,2011-08-17,21.2,15.862499999999999,11.5,76.04166666666667,4.208333333333333,0.0,1018.6854166666667,6587.84,5628.000208333334,29.505416666666665
QLD1,2011-08-18,21.4,16.614583333333332,13.8,60.958333333333336,6.95,0.0,1014.8479166666666,6736.71,5732.703541666667,29.639375
QLD1,2011-08-19,21.1,14.610416666666666,6.2,53.229166666666664,5.691666666666666,0.0,1016.5645833333333,6629.4,5737.740624999999,29.245625
QLD1,2011-08-20,22.1,15.377083333333333,8.8,61.604166666666664,5.570833333333333,0.0,1020.38125,6101.93,5351.997291666667,27.735208333333333
QLD1,2011-08-21,20.6,15.304166666666667,12.3,73.97916666666667,7.741666666666667,6.6,1024.9395833333333,6441.33,5348.90375,27.029583333333335
QLD1,2011-08-22,20.4,16.178,12.4,71.14,10.618,8.0,1027.048,6835.93,5790.601041666666,30.335624999999997
QLD1,2011-08-23,20.9,16.627083333333335,14.0,85.4375,7.393750000000001,15.2,1025.8791666666666,6759.52,5805.901666666668,27.288541666666664
QLD1,2011-08-24,21.9,17.154166666666665,13.5,71.6875,7.110416666666667,6.8,1024.7437499999999,6570.33,5650.479375,27.319166666666664
QLD1,2011-08-25,22.9,17.520833333333332,14.4,72.83333333333333,5.1499999999999995,0.0,1023.9895833333334,6531.04,5687.99125,26.139166666666668
QLD1,2011-08-26,21.6,18.066666666666666,13.3,77.95833333333333,4.3,0.0,1023.5416666666666,6348.89,5668.089583333333,26.34375
QLD1,2011-08-27,19.7,17.939583333333335,16.1,92.45833333333333,4.3999999999999995,23.2,1019.34375,6083.18,5335.312916666667,26.989166666666666
QLD1,2011-08-28,24.6,18.789583333333333,15.3,76.75,4.4375,23.6,1018.0354166666666,6109.19,5146.398125,25.977500000000003
QLD1,2011-08-29,24.9,18.54375,13.9,75.60416666666667,3.6791666666666667,0.0,1019.06875,6388.31,5506.942291666666,29.341250000000002
QLD1,2011-08-30,22.0,17.479166666666668,14.7,79.91666666666667,3.5083333333333333,12.6,1019.3895833333332,6516.54,5626.782708333333,30.333541666666665
QLD1,2011-08-31,23.7,16.735416666666666,12.6,77.02083333333333,4.1125,12.8,1021.1520833333334,6335.84,5531.360833333333,30.021041666666665
QLD1,2011-09-01,23.3,17.277083333333334,12.9,74.16666666666667,3.7125,0.0,1022.3354166666667,6437.34,5562.156041666666,30.213541666666668
QLD1,2011-09-02,23.6,17.510416666666668,13.2,70.41666666666667,6.158333333333334,0.0,1024.3395833333334,6143.51,5469.73,27.400625
QLD1,2011-09-03,21.6,16.933333333333334,12.0,63.583333333333336,7.279166666666666,0.0,1027.4229166666667,5787.85,5112.792083333333,24.501875
QLD1,2011-09-04,21.0,16.595833333333335,12.6,67.625,5.241666666666666,0.0,1027.3416666666667,5869.37,5045.738125,21.88270833333333
